A87,China,SRR13124770
A17,China,SRR13124774
A88,China,SRR13124781
A89,China,SRR13124792
A200,Indonesia,SRR13124799
A202,Indonesia,SRR13124801
A203,Indonesia,SRR13124802
A8,China,SRR13124803
A246,Japan,SRR13124840
A279,Laos,SRR13124866
A280,Laos,SRR13124868
A375,South Korea,SRR13124976
A377,South Korea,SRR13124978
A3,China,SRR13125003
A42,China,SRR13125025
A49,China,SRR13125032
A4,China,SRR13125033
A53,China,SRR13125038
A54,China,SRR13125039
A56,China,SRR13125041
A58,China,SRR13125043
A5,China,SRR13125044
A471,China,SRR13125050
A470,China,SRR13124649
A469,China,SRR13124650
A468,China,SRR13124651
A467,China,SRR13124652
A462,China,SRR13124657
A438,China,SRR13124680
A79,China,SRR13124703
A102,Philippines,SRR13124709
A7,China,SRR13124714
A10,China,SRR13124715
A128,Philippines,SRR13124731
A84,China,SRR13124736
A138,Philippines,SRR13124739
A13,China,SRR13124741
A85,China,SRR13124747
A159,Philippines,SRR13124754
A15,China,SRR13124755
A16,China,SRR13124764
A170,Philippines,SRR13124765
